timestamp,user_id,password_attempt,dictionary_flag,hmac_valid,password_valid,failed_attempts,vulnerability_score,attack_type,password_entropy,label,time_gap
1774376755,bob,Secure@456,0,True,True,0,0.0,legitimate,65.54588851677637,0,0
1774376757,frank,bonnie1,1,True,False,1,0.02,dictionary,36.18947501009619,1,2.0
1774376758,bob,honeybee,1,True,False,1,0.02,dictionary,37.603517745128734,1,1.0
1774376758,david,stefano,1,True,False,1,0.02,dictionary,32.90307802698764,1,0.0
1774376758,jack,fordf150,1,True,False,1,0.02,dictionary,41.3594000115385,1,0.0
1774376758,henry,angel08,1,True,False,1,0.02,dictionary,36.18947501009619,1,0.0
1774376758,olivia,sexyone,1,True,False,1,0.02,dictionary,32.90307802698764,1,0.0
1774376758,jack,mervin,1,True,False,2,0.04,dictionary,28.202638308846552,1,0.0
1774376759,jack,frozen,1,True,False,3,0.06,dictionary,28.202638308846552,1,1.0
1774376759,jack,angel24,1,True,False,4,0.08,dictionary,36.18947501009619,1,0.0
1774376759,frank,12345s,1,True,False,2,0.04,dictionary,31.019550008653873,1,0.0
1774376759,alice,admin123,0,True,True,0,0.155,legitimate,41.3594000115385,0,0.0
1774376762,frank,cynthia,1,True,False,3,0.06,dictionary,32.90307802698764,1,3.0
1774376762,jack,Sun&Moon_2025!,0,True,True,0,0.0,legitimate,91.76424392348693,0,0.0
1774376762,jack,Sun&Moon_2025!,0,True,True,0,0.0,replay,91.76424392348693,1,0.0
1774376763,nathan,Galaxy@Storm99,0,True,True,0,0.0,legitimate,91.76424392348693,0,1.0
1774376768,henry,love99,1,True,False,2,0.04,dictionary,31.019550008653873,1,5.0
1774376768,mia,aaaaaaaa,1,True,False,1,0.02,dictionary,37.603517745128734,1,0.0
1774376769,leo,fruitcake,1,True,False,1,0.02,dictionary,42.303957463269825,1,1.0
1774376769,isabel,loves,1,True,False,1,0.02,dictionary,23.502198590705458,1,0.0
1774376769,jack,gloria,1,True,False,1,0.02,dictionary,28.202638308846552,1,0.0
1774376769,david,monkeys1,1,True,False,2,0.04,dictionary,41.3594000115385,1,0.0
1774376769,grace,needforspeed,1,True,False,1,0.02,dictionary,56.405276617693104,1,0.0
1774376769,grace,peekaboo,1,True,False,2,0.04,dictionary,37.603517745128734,1,0.0
